tweet_id,favorite_count,retweet_count
838916489579200512,0,36
838831947270979586,0,11943
838561493054533637,11499,1429
838476387338051585,23825,5197
838201503651401729,0,10908
838150277551247360,1769,354
838085839343206401,149,0
838083903487373313,18584,3401
837820167694528512,36048,8493
837482249356513284,4044,479
837471256429613056,13499,2479
837366284874571778,22296,5726
837110210464448512,16907,2593
836989968035819520,13437,2480
836753516572119041,20292,4993
836677758902222849,13302,2402
836648853927522308,0,593
836397794269200385,0,29885
836380477523124226,15546,3200
836260088725786625,22447,4640
836001077879255040,20181,4644
835685285446955009,0,8848
835574547218894849,18803,3923
835536468978302976,0,1845
835309094223372289,0,22768
835297930240217089,17344,3236
835264098648616962,8198,1845
835246439529840640,2204,78
835172783151792128,27623,6226
835152434251116546,23733,3272
834931633769889797,11457,1790
834786237630337024,22347,5927
834574053763584002,14491,2748
834477809192075265,0,11578
834458053273591808,10181,1817
834209720923721728,21805,5193
834167344700198914,16671,3940
834089966724603904,10627,2305
834086379323871233,13826,2407
833863086058651648,14191,2609
833826103416520705,16236,3733
833732339549220864,0,235
833722901757046785,21888,3486
833479644947025920,15720,2245
833124694597443584,21375,5255
832998151111966721,14078,2408
832769181346996225,0,40
832757312314028032,17810,3941
832682457690300417,12579,3189
832645525019123713,3090,563
832636094638288896,16793,3040
832397543355072512,12661,2417
832369877331693569,18159,3461
832273440279240704,11979,2534
832215909146226688,0,6731
832215726631055365,0,10200
832088576586297345,70,2
832040443403784192,0,10579
832032802820481025,18893,5061
831939777352105988,25434,6673
831926988323639298,362,35
831911600680497154,29331,7101
831670449226514432,11069,1974
831650051525054464,7612,2113
831552930092285952,9546,2497
831322785565769729,9734,1663
831315979191906304,6912,1214
831309418084069378,12430,2658
831262627380748289,12627,2233
830956169170665475,8456,1629
830583320585068544,71015,18368
830173239259324417,0,6222
830097400375152640,10427,3280
829878982036299777,0,5475
829861396166877184,12980,2135
829501995190984704,33706,11578
829449946868879360,11108,2209
829374341691346946,36763,10166
